Results:
x: 0.000000; y: 1.000000
x: 0.100000; y: 1.100000
x: 0.200000; y: 1.210000
x: 0.300000; y: 1.331000
x: 0.400000; y: 1.464100
x: 0.500000; y: 1.610510
x: 0.600000; y: 1.771561
x: 0.700000; y: 1.948717
x: 0.800000; y: 2.143589
x: 0.900000; y: 2.357948
x: 1.000000; y: 2.593742
x: 1.100000; y: 2.853117
x: 1.200000; y: 3.138428
x: 1.300000; y: 3.452271
x: 1.400000; y: 3.797498
x: 1.500000; y: 4.177248
x: 1.600000; y: 4.594973
x: 1.700000; y: 5.054470
x: 1.800000; y: 5.559917
x: 1.900000; y: 6.115909
x: 2.000000; y: 6.727500
x: 2.100000; y: 7.400250
x: 2.200000; y: 8.140275
x: 2.300000; y: 8.954302
x: 2.400000; y: 9.849733
x: 2.500000; y: 10.834706
x: 2.600000; y: 11.918177
x: 2.700000; y: 13.109994
x: 2.800000; y: 14.420994
x: 2.900000; y: 15.863093
x: 3.000000; y: 17.449402
x: 3.100000; y: 19.194342
x: 3.200000; y: 21.113777
x: 3.300000; y: 23.225154
x: 3.400000; y: 25.547670
x: 3.500000; y: 28.102437
x: 3.600000; y: 30.912681
x: 3.700000; y: 34.003949
x: 3.800000; y: 37.404343
x: 3.900000; y: 41.144778
x: 4.000000; y: 45.259256
